Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
-9.785e+00,-0.002,0.006,-7.8,-7.6
-9.781e+00,-0.002,-0.008,-7.8,-8
-9.777e+00,-0,0.004,-7.8,-7.6
-9.773e+00,-0,-0.008,-7.8,-8
-9.770e+00,-0,0.006,-7.8,-7.6
-9.766e+00,-0.004,-0.01,-7.8,-8
-9.762e+00,-0.002,0.006,-7.8,-7.6
-9.758e+00,-0,-0.008,-7.8,-8
-9.754e+00,-0.002,0.006,-7.8,-7.6
-9.750e+00,-0.002,-0.008,-7.8,-8
-9.747e+00,-0,0.006,-7.8,-7.6
-9.743e+00,-0,-0.008,-7.8,-8
-9.739e+00,-0.002,0.01,-7.8,-7.6
-9.735e+00,-0.002,-0.01,-7.8,-8
-9.731e+00,-0,0.006,-7.8,-7.6
-9.727e+00,-0.002,-0.008,-7.8,-8
-9.724e+00,-0.002,0.006,-7.8,-7.6
-9.720e+00,-0.002,-0.008,-7.8,-8
-9.716e+00,-0,0.012,-7.8,-7.6
-9.712e+00,-0.002,-0.014,-7.8,-8
-9.708e+00,-0.002,0.008,-7.8,-7.6
-9.704e+00,-0,-0.014,-7.8,-8
-9.700e+00,-0.002,0.006,-7.8,-7.6
-9.697e+00,-0.002,-0.008,-7.8,-8
-9.693e+00,-0.002,0.006,-7.8,-7.6
-9.689e+00,-0,-0.01,-7.8,-8
-9.685e+00,-0.002,0.004,-7.8,-7.6
-9.681e+00,-0.002,-0.008,-7.8,-8
-9.677e+00,-0.002,0.008,-7.8,-7.6
-9.674e+00,-0,-0.012,-7.8,-8
-9.670e+00,-0,0.006,-7.8,-7.6
-9.666e+00,-0.004,-0.008,-7.8,-8
-9.662e+00,-0.002,0.006,-7.8,-7.6
-9.658e+00,-0,-0.008,-7.8,-8
-9.654e+00,-0.002,0.006,-7.8,-7.6
-9.651e+00,-0.002,-0.01,-7.8,-8
-9.647e+00,-0.002,0.006,-7.8,-7.6
-9.643e+00,-0,-0.008,-7.8,-8
-9.639e+00,-0.002,0.006,-7.8,-7.6
-9.635e+00,-0.002,-0.01,-7.8,-8.2
-9.631e+00,-0,0.006,-7.8,-7.6
-9.627e+00,-0.002,-0.008,-7.8,-8.2
-9.624e+00,-0.002,0.006,-7.8,-7.6
-9.620e+00,-0.004,-0.008,-8,-8.2
-9.616e+00,-0,0.006,-8,-7.6
-9.612e+00,-0.002,-0.01,-7.8,-8.2
-9.608e+00,-0.002,0.006,-7.8,-7.6
-9.604e+00,-0.002,-0.01,-8,-8.2
-9.601e+00,-0,0.006,-8,-7.6
-9.597e+00,-0,-0.008,-8,-8.2
-9.593e+00,-0.004,0.006,-8,-7.6
-9.589e+00,-0.002,-0.008,-8,-8.2
-9.585e+00,-0,0.006,-8,-7.6
-9.581e+00,-0.002,-0.008,-8,-8.2
-9.578e+00,-0.002,0.008,-8,-7.8
-9.574e+00,-0,-0.008,-8,-8.2
-9.570e+00,-0,0.006,-8,-7.8
-9.566e+00,-0.002,-0.008,-8,-8.2
-9.562e+00,-0.002,0.006,-8,-7.8
-9.558e+00,-0.002,-0.01,-8,-8.2
-9.555e+00,-0.002,0.012,-8,-7.8
-9.551e+00,-0.002,-0.014,-8,-8.2
-9.547e+00,-0.004,0.006,-8,-7.8
-9.543e+00,-0,-0.01,-8,-8.2
-9.539e+00,-0,0.006,-8,-7.8
-9.535e+00,-0.002,-0.01,-8,-8.2
-9.531e+00,-0.002,0.006,-8,-7.8
-9.528e+00,-0,-0.008,-8,-8.2
-9.524e+00,-0,0.006,-8,-7.8
-9.520e+00,-0.002,-0.008,-8,-8.2
-9.516e+00,-0,0.01,-8,-7.8
-9.512e+00,-0.002,-0.01,-8,-8.2
-9.508e+00,-0.002,0.006,-8,-7.8
-9.505e+00,-0.002,-0.008,-8,-8.2
-9.501e+00,-0,0.008,-8,-7.8
-9.497e+00,-0,-0.008,-8,-8.2
-9.493e+00,-0.002,0.006,-8,-7.8
-9.489e+00,-0.002,-0.008,-8,-8.2
-9.485e+00,-0,0.006,-8,-7.8
-9.482e+00,-0,-0.01,-8,-8.2
-9.478e+00,-0.002,0.006,-8,-7.8
-9.474e+00,-0.004,-0.008,-8,-8.2
-9.470e+00,-0,0.006,-8,-7.8
-9.466e+00,-0.002,-0.008,-8,-8.2
-9.462e+00,-0.002,0.006,-8,-7.8
-9.459e+00,-0.002,-0.008,-8,-8.2
-9.455e+00,-0,0.006,-8,-7.8
-9.451e+00,-0.002,-0.008,-8,-8.2
-9.447e+00,-0.004,0.006,-8,-7.8
-9.443e+00,-0.002,-0.008,-8,-8.4
-9.439e+00,-0,0.006,-8,-7.8
-9.435e+00,-0.002,-0.008,-8,-8.4
-9.432e+00,-0.002,0.006,-8.2,-7.8
-9.428e+00,-0.002,-0.01,-8,-8.4
-9.424e+00,-0,0.006,-8.2,-7.8
-9.420e+00,-0.002,-0.01,-8.2,-8.4
-9.416e+00,-0.002,0.008,-8,-7.8
-9.412e+00,-0,-0.01,-8.2,-8.4
-9.409e+00,-0,0.006,-8.2,-7.8
-9.405e+00,-0.002,-0.008,-8.2,-8.4
-9.401e+00,-0.002,0.006,-8.2,-7.8
-9.397e+00,-0,-0.01,-8.2,-8.4
-9.393e+00,-0.002,0.01,-8.2,-8
-9.389e+00,-0.002,-0.012,-8.2,-8.4
-9.386e+00,-0.002,0.008,-8.2,-8
-9.382e+00,-0.002,-0.018,-8.2,-8.4
-9.378e+00,-0.002,0.008,-8.2,-8
-9.374e+00,-0.004,-0.008,-8.2,-8.4
-9.370e+00,-0,0.006,-8.2,-8
-9.366e+00,-0.002,-0.008,-8.2,-8.4
-9.363e+00,-0.002,0.008,-8.2,-8
-9.359e+00,-0.002,-0.01,-8.2,-8.4
-9.355e+00,-0,0.008,-8.2,-8
-9.351e+00,-0,-0.01,-8.2,-8.4
-9.347e+00,-0.004,0.006,-8.2,-8
-9.343e+00,-0.002,-0.008,-8.2,-8.4
-9.339e+00,-0,0.008,-8.2,-8
-9.336e+00,-0,-0.008,-8.2,-8.4
-9.332e+00,-0.002,0.006,-8.2,-8
-9.328e+00,-0.002,-0.008,-8.2,-8.4
-9.324e+00,-0,0.006,-8.2,-8
-9.320e+00,-0.002,-0.01,-8.2,-8.4
-9.316e+00,-0.002,0.006,-8.2,-8
-9.313e+00,-0.002,-0.008,-8.2,-8.4
-9.309e+00,-0,0.006,-8.2,-8
-9.305e+00,-0.002,-0.012,-8.2,-8.4
-9.301e+00,-0.004,0.004,-8.2,-8
-9.297e+00,-0,-0.01,-8.2,-8.4
-9.293e+00,-0.002,0.006,-8.2,-8
-9.290e+00,-0.002,-0.008,-8.2,-8.4
-9.286e+00,-0,0.006,-8.2,-8
-9.282e+00,-0.002,-0.008,-8.2,-8.4
-9.278e+00,-0.002,0.008,-8.2,-8
-9.274e+00,-0.002,-0.01,-8.2,-8.6
-9.270e+00,-0.002,0.006,-8.2,-8
-9.267e+00,-0,-0.008,-8.2,-8.4
-9.263e+00,-0.002,0.006,-8.2,-8
-9.259e+00,-0.002,-0.008,-8.2,-8.6
-9.255e+00,-0.002,0.008,-8.2,-8
-9.251e+00,-0,-0.008,-8.2,-8.4
-9.247e+00,-0.002,0.006,-8.2,-8
-9.243e+00,-0.002,-0.008,-8.2,-8.6
-9.240e+00,-0.002,0.01,-8.2,-8
-9.236e+00,-0,-0.014,-8.2,-8.6
-9.232e+00,-0.002,0.01,-8.2,-8
-9.228e+00,-0.002,-0.012,-8.2,-8.6
-9.224e+00,0.002,0.006,-8.2,-8
-9.220e+00,-0,-0.008,-8.2,-8.6
-9.217e+00,-0.002,0.008,-8.4,-8.2
-9.213e+00,-0.002,-0.008,-8.4,-8.6
-9.209e+00,-0.002,0.006,-8.4,-8.2
-9.205e+00,-0.002,-0.008,-8.4,-8.6
-9.201e+00,-0.004,0.008,-8.4,-8.2
-9.197e+00,-0,-0.012,-8.4,-8.6
-9.194e+00,-0.002,0.006,-8.4,-8.2
-9.190e+00,-0.002,-0.01,-8.4,-8.6
-9.186e+00,-0.002,0.006,-8.4,-8.2
-9.182e+00,-0.002,-0.01,-8.4,-8.6
-9.178e+00,-0,0.006,-8.4,-8.2
-9.174e+00,-0.002,-0.008,-8.4,-8.6
-9.171e+00,-0.002,0.004,-8.4,-8.2
-9.167e+00,-0.002,-0.008,-8.4,-8.6
-9.163e+00,-0,0.006,-8.4,-8.2
-9.159e+00,-0.002,-0.008,-8.4,-8.6
-9.155e+00,-0.002,0.006,-8.4,-8.2
-9.151e+00,-0,-0.008,-8.4,-8.6
-9.147e+00,-0.002,0.006,-8.4,-8.2
-9.144e+00,-0.002,-0.01,-8.4,-8.6
-9.140e+00,-0.002,0.006,-8.4,-8.2
-9.136e+00,-0,-0.008,-8.4,-8.6
-9.132e+00,-0.002,0.006,-8.4,-8.2
-9.128e+00,-0.004,-0.008,-8.4,-8.6
-9.124e+00,-0,0.006,-8.4,-8.2
-9.121e+00,-0,-0.008,-8.4,-8.6
-9.117e+00,-0.002,0.006,-8.4,-8.2
-9.113e+00,-0.002,-0.008,-8.4,-8.6
-9.109e+00,-0.002,0.006,-8.4,-8.2
-9.105e+00,-0.002,-0.008,-8.4,-8.6
-9.101e+00,-0.004,0.006,-8.4,-8.2
-9.098e+00,-0.002,-0.008,-8.4,-8.6
-9.094e+00,-0.002,0.008,-8.4,-8.2
-9.090e+00,-0,-0.008,-8.4,-8.6
-9.086e+00,-0.002,0.006,-8.4,-8.2
-9.082e+00,-0.002,-0.01,-8.4,-8.6
-9.078e+00,-0,0.01,-8.4,-8.2
-9.075e+00,-0.002,-0.012,-8.4,-8.6
-9.071e+00,-0.002,0.01,-8.4,-8.2
-9.067e+00,-0.002,-0.014,-8.4,-8.6
-9.063e+00,-0,0.006,-8.4,-8.2
-9.059e+00,-0.002,-0.008,-8.4,-8.6
-9.055e+00,-0.002,0.008,-8.4,-8.2
-9.051e+00,-0,-0.008,-8.4,-8.6
-9.048e+00,-0.002,0.006,-8.4,-8.2
-9.044e+00,-0.002,-0.01,-8.4,-8.8
-9.040e+00,-0.002,0.008,-8.6,-8.2
-9.036e+00,-0,-0.01,-8.4,-8.8
-9.032e+00,-0,0.006,-8.4,-8.2
-9.028e+00,-0.002,-0.008,-8.6,-8.8
-9.025e+00,-0.002,0.006,-8.6,-8.2
-9.021e+00,-0,-0.008,-8.6,-8.8
-9.017e+00,-0,0.006,-8.6,-8.2
-9.013e+00,-0.002,-0.008,-8.6,-8.8
-9.009e+00,-0.002,0.008,-8.6,-8.2
-9.005e+00,0.002,-0.008,-8.6,-8.8
-9.002e+00,-0.004,0.006,-8.6,-8.2
-8.998e+00,-0.002,-0.008,-8.6,-8.8
-8.994e+00,-0.002,0.006,-8.6,-8.4
-8.990e+00,-0,-0.01,-8.6,-8.8
-8.986e+00,-0.002,0.006,-8.6,-8.4
-8.982e+00,-0.004,-0.008,-8.6,-8.8
-8.978e+00,-0,0.006,-8.6,-8.4
-8.975e+00,-0.002,-0.01,-8.6,-8.8
-8.971e+00,-0.002,0.008,-8.6,-8.4
-8.967e+00,-0.002,-0.008,-8.6,-8.8
-8.963e+00,-0,0.008,-8.6,-8.4
-8.959e+00,-0,-0.008,-8.6,-8.8
-8.955e+00,-0.004,0.008,-8.6,-8.4
-8.952e+00,-0,-0.008,-8.6,-8.8
-8.948e+00,-0,0.004,-8.6,-8.4
-8.944e+00,-0.002,-0.008,-8.6,-8.8
-8.940e+00,-0.002,0.008,-8.6,-8.4
-8.936e+00,-0,-0.008,-8.6,-8.8
-8.932e+00,-0,0.006,-8.6,-8.4
-8.929e+00,-0.002,-0.01,-8.6,-8.8
-8.925e+00,-0.002,0.008,-8.6,-8.4
-8.921e+00,-0.002,-0.008,-8.6,-8.8
-8.917e+00,-0,0.012,-8.6,-8.4
-8.913e+00,-0.002,-0.014,-8.6,-8.8
-8.909e+00,-0.002,0.008,-8.6,-8.4
-8.906e+00,-0,-0.01,-8.6,-8.8
-8.902e+00,-0.002,0.008,-8.6,-8.4
-8.898e+00,-0.002,-0.01,-8.6,-8.8
-8.894e+00,-0.002,0.006,-8.6,-8.4
-8.890e+00,-0,-0.01,-8.6,-8.8
-8.886e+00,-0.002,0.006,-8.6,-8.4
-8.882e+00,-0.002,-0.008,-8.6,-8.8
-8.879e+00,-0.002,0.01,-8.6,-8.4
-8.875e+00,-0,-0.01,-8.6,-8.8
-8.871e+00,-0.002,0.004,-8.6,-8.4
-8.867e+00,-0.002,-0.008,-8.8,-8.8
-8.863e+00,-0.002,0.006,-8.6,-8.4
-8.859e+00,-0,-0.01,-8.6,-9
-8.856e+00,-0.002,0.006,-8.6,-8.4
-8.852e+00,-0.002,-0.008,-8.8,-9
-8.848e+00,-0,0.004,-8.6,-8.4
-8.844e+00,-0.002,-0.01,-8.6,-9
-8.840e+00,-0.002,0.006,-8.8,-8.4
-8.836e+00,-0.002,-0.008,-8.6,-9
-8.833e+00,-0,0.006,-8.6,-8.4
-8.829e+00,-0.002,-0.01,-8.8,-9
-8.825e+00,-0.002,0.006,-8.8,-8.6
-8.821e+00,-0.002,-0.008,-8.8,-9
-8.817e+00,-0.002,0.006,-8.8,-8.6
-8.813e+00,-0,-0.008,-8.8,-9
-8.810e+00,-0.002,0.006,-8.8,-8.6
-8.806e+00,-0,-0.008,-8.8,-9
-8.802e+00,-0,0.006,-8.8,-8.6
-8.798e+00,-0.002,-0.008,-8.8,-9
-8.794e+00,-0.002,0.006,-8.8,-8.6
-8.790e+00,-0,-0.008,-8.8,-9
-8.786e+00,-0,0.008,-8.8,-8.6
-8.783e+00,-0.004,-0.008,-8.8,-9
-8.779e+00,-0.002,0.006,-8.8,-8.6
-8.775e+00,-0,-0.008,-8.8,-9
-8.771e+00,-0,0.004,-8.8,-8.6
-8.767e+00,-0.002,-0.008,-8.8,-9
-8.763e+00,-0.002,0.006,-8.8,-8.6
-8.760e+00,-0,-0.008,-8.8,-9
-8.756e+00,-0.002,0.01,-8.8,-8.6
-8.752e+00,-0.002,-0.014,-8.8,-9
-8.748e+00,-0.002,0.008,-8.8,-8.6
-8.744e+00,-0,-0.018,-8.8,-9
-8.740e+00,-0.002,0.008,-8.8,-8.6
-8.737e+00,-0.002,-0.008,-8.8,-9
-8.733e+00,-0,0.006,-8.8,-8.6
-8.729e+00,-0.002,-0.008,-8.8,-9
-8.725e+00,-0.002,0.006,-8.8,-8.6
-8.721e+00,-0.002,-0.008,-8.8,-9
-8.717e+00,-0.002,0.008,-8.8,-8.6
-8.714e+00,-0,-0.01,-8.8,-9
-8.710e+00,-0.002,0.006,-8.8,-8.6
-8.706e+00,-0.002,-0.008,-8.8,-9
-8.702e+00,-0.002,0.008,-8.8,-8.6
-8.698e+00,-0,-0.008,-8.8,-9
-8.694e+00,-0.002,0.004,-8.8,-8.6
-8.690e+00,-0.002,-0.01,-8.8,-9
-8.687e+00,-0,0.006,-8.8,-8.6
-8.683e+00,-0.002,-0.01,-8.8,-9
-8.679e+00,-0.002,0.006,-8.8,-8.6
-8.675e+00,-0.002,-0.008,-8.8,-9
-8.671e+00,-0,0.006,-8.8,-8.6
-8.667e+00,-0.002,-0.01,-8.8,-9
-8.664e+00,-0.002,0.004,-8.8,-8.6
-8.660e+00,-0,-0.008,-8.8,-9
-8.656e+00,-0,0.006,-8.8,-8.6
-8.652e+00,-0.002,-0.008,-8.8,-9
-8.648e+00,-0.002,0.004,-8.8,-8.6
-8.644e+00,-0.002,-0.008,-8.8,-9.2
-8.641e+00,-0,0.006,-8.8,-8.6
-8.637e+00,-0.002,-0.008,-8.8,-9.2
-8.633e+00,-0,0.004,-9,-8.6
-8.629e+00,-0.002,-0.008,-9,-9.2
-8.625e+00,-0,0.006,-8.8,-8.6
-8.621e+00,-0.002,-0.01,-9,-9.2
-8.618e+00,-0.002,0.01,-9,-8.6
-8.614e+00,-0,-0.008,-9,-9.2
-8.610e+00,-0.004,0.006,-9,-8.8
-8.606e+00,-0.002,-0.008,-9,-9.2
-8.602e+00,-0.002,0.006,-9,-8.8
-8.598e+00,-0,-0.01,-9,-9.2
-8.594e+00,-0.002,0.01,-9,-8.8
-8.591e+00,-0.002,-0.012,-9,-9.2
-8.587e+00,-0,0.006,-9,-8.8
-8.583e+00,-0.002,-0.01,-9,-9.2
-8.579e+00,-0.002,0.01,-9,-8.8
-8.575e+00,-0.002,-0.008,-9,-9.2
-8.571e+00,-0.002,0.006,-9,-8.8
-8.568e+00,-0,-0.008,-9,-9.2
-8.564e+00,-0.002,0.008,-9,-8.8
-8.560e+00,-0,-0.01,-9,-9.2
-8.556e+00,-0.002,0.008,-9,-8.8
-8.552e+00,-0,-0.01,-9,-9.2
-8.548e+00,-0.002,0.006,-9,-8.8
-8.545e+00,-0.002,-0.008,-9,-9.2
-8.541e+00,-0,0.006,-9,-8.8
-8.537e+00,-0.002,-0.008,-9,-9.2
-8.533e+00,-0.002,0.006,-9,-8.8
-8.529e+00,-0.002,-0.008,-9,-9.2
-8.525e+00,-0,0.006,-9,-8.8
-8.522e+00,-0.002,-0.01,-9,-9.2
-8.518e+00,-0.002,0.006,-9,-8.8
-8.514e+00,-0.002,-0.01,-9,-9.2
-8.510e+00,-0.002,0.006,-9,-8.8
-8.506e+00,-0.002,-0.008,-9,-9.2
-8.502e+00,-0.002,0.006,-9,-8.8
-8.498e+00,-0,-0.008,-9,-9.2
-8.495e+00,-0,0.006,-9,-8.8
-8.491e+00,-0.002,-0.01,-9,-9.2
-8.487e+00,-0,0.006,-9,-8.8
-8.483e+00,-0.002,-0.008,-9,-9.2
-8.479e+00,-0.002,0.008,-9,-8.8
-8.475e+00,-0.002,-0.01,-9,-9.2
-8.472e+00,-0.002,0.006,-9,-8.8
-8.468e+00,-0,-0.008,-9,-9.2
-8.464e+00,-0.002,0.006,-9,-8.8
-8.460e+00,-0.002,-0.008,-9,-9.2
-8.456e+00,-0.002,0.01,-9,-8.8
-8.452e+00,-0,-0.008,-9,-9.4
-8.449e+00,-0.002,0.008,-9,-8.8
-8.445e+00,-0.002,-0.008,-9.2,-9.2
-8.441e+00,-0,0.012,-9.2,-8.8
-8.437e+00,-0.002,-0.014,-9.2,-9.4
-8.433e+00,-0.002,0.01,-9.2,-8.8
-8.429e+00,-0.002,-0.014,-9,-9.4
-8.425e+00,-0,0.006,-9.2,-9
-8.422e+00,-0.002,-0.008,-9.2,-9.4
-8.418e+00,-0.002,0.006,-9.2,-8.8
-8.414e+00,-0.002,-0.008,-9.2,-9.4
-8.410e+00,-0.002,0.006,-9.2,-9
-8.406e+00,-0,-0.01,-9.2,-9.4
-8.402e+00,-0.002,0.01,-9.2,-9
-8.399e+00,-0,-0.01,-9.2,-9.4
-8.395e+00,-0,0.006,-9.2,-9
-8.391e+00,-0.002,-0.008,-9.2,-9.4
-8.387e+00,-0,0.006,-9.2,-9
-8.383e+00,-0.002,-0.008,-9.2,-9.4
-8.379e+00,-0,0.008,-9.2,-9
-8.376e+00,-0.002,-0.008,-9.2,-9.4
-8.372e+00,-0.002,0.006,-9.2,-9
-8.368e+00,-0,-0.008,-9.2,-9.4
-8.364e+00,-0.002,0.006,-9.2,-9
-8.360e+00,-0,-0.008,-9.2,-9.4
-8.356e+00,-0.002,0.006,-9.2,-9
-8.353e+00,-0,-0.008,-9.2,-9.4
-8.349e+00,-0.002,0.004,-9.2,-9
-8.345e+00,-0.002,-0.01,-9.2,-9.4
-8.341e+00,-0.002,0.006,-9.2,-9
-8.337e+00,-0,-0.01,-9.2,-9.4
-8.333e+00,-0.002,0.006,-9.2,-9
-8.329e+00,-0.002,-0.008,-9.2,-9.4
-8.326e+00,-0,0.006,-9.2,-9
-8.322e+00,-0,-0.008,-9.2,-9.4
-8.318e+00,-0.002,0.006,-9.2,-9
-8.314e+00,-0,-0.01,-9.2,-9.4
-8.310e+00,-0.002,0.006,-9.2,-9
-8.306e+00,-0,-0.008,-9.2,-9.4
-8.303e+00,-0.002,0.006,-9.2,-9
-8.299e+00,-0.002,-0.01,-9.2,-9.4
-8.295e+00,-0,0.008,-9.2,-9
-8.291e+00,-0,-0.01,-9.2,-9.4
-8.287e+00,-0,0.006,-9.2,-9
-8.283e+00,-0.002,-0.008,-9.2,-9.4
-8.280e+00,-0,0.012,-9.2,-9
-8.276e+00,-0.002,-0.014,-9.2,-9.6
-8.272e+00,-0.002,0.008,-9.2,-9
-8.268e+00,-0,-0.01,-9.2,-9.4
-8.264e+00,-0.002,0.006,-9.2,-9
-8.260e+00,-0.002,-0.008,-9.2,-9.6
-8.257e+00,-0.002,0.008,-9.2,-9
-8.253e+00,-0,-0.008,-9.2,-9.6
-8.249e+00,-0,0.006,-9.2,-9
-8.245e+00,-0.002,-0.008,-9.2,-9.6
-8.241e+00,-0.002,0.01,-9.2,-9
-8.237e+00,-0.002,-0.01,-9.2,-9.6
-8.233e+00,-0,0.004,-9.4,-9
-8.230e+00,-0.002,-0.008,-9.2,-9.6
-8.226e+00,-0,0.006,-9.4,-9
-8.222e+00,-0,-0.008,-9.4,-9.6
-8.218e+00,-0.002,0.006,-9.4,-9.2
-8.214e+00,-0,-0.008,-9.4,-9.6
-8.210e+00,-0.002,0.006,-9.4,-9
-8.207e+00,-0,-0.01,-9.4,-9.6
-8.203e+00,-0.002,0.004,-9.4,-9.2
-8.199e+00,-0.002,-0.008,-9.4,-9.6
-8.195e+00,-0.002,0.006,-9.4,-9.2
-8.191e+00,-0.002,-0.008,-9.4,-9.6
-8.187e+00,-0,0.006,-9.4,-9.2
-8.184e+00,-0.002,-0.008,-9.4,-9.6
-8.180e+00,-0,0.006,-9.4,-9.2
-8.176e+00,-0,-0.008,-9.4,-9.6
-8.172e+00,-0.002,0.006,-9.4,-9.2
-8.168e+00,-0.002,-0.008,-9.4,-9.6
-8.164e+00,-0.002,0.006,-9.4,-9.2
-8.161e+00,-0,-0.01,-9.4,-9.6
-8.157e+00,-0.002,0.006,-9.4,-9.2
-8.153e+00,-0.002,-0.008,-9.4,-9.6
-8.149e+00,-0,0.006,-9.4,-9.2
-8.145e+00,-0.002,-0.008,-9.4,-9.6
-8.141e+00,-0,0.006,-9.4,-9.2
-8.137e+00,-0.002,-0.008,-9.4,-9.6
-8.134e+00,-0,0.006,-9.4,-9.2
-8.130e+00,-0.002,-0.008,-9.4,-9.6
-8.126e+00,-0.002,0.006,-9.4,-9.2
-8.122e+00,-0.002,-0.008,-9.4,-9.6
-8.118e+00,-0,0.01,-9.4,-9.2
-8.114e+00,-0,-0.012,-9.4,-9.6
-8.111e+00,-0.002,0.008,-9.4,-9.2
-8.107e+00,-0,-0.018,-9.4,-9.6
-8.103e+00,-0.002,0.006,-9.4,-9.2
-8.099e+00,-0.002,-0.01,-9.4,-9.6
-8.095e+00,-0.002,0.008,-9.4,-9.2
-8.091e+00,-0.002,-0.008,-9.4,-9.8
-8.088e+00,-0.002,0.006,-9.4,-9.2
-8.084e+00,-0.002,-0.008,-9.4,-9.6
-8.080e+00,-0.002,0.008,-9.6,-9.2
-8.076e+00,-0,-0.01,-9.4,-9.8
-8.072e+00,-0.002,0.006,-9.4,-9.2
-8.068e+00,-0.002,-0.008,-9.4,-9.8
-8.065e+00,-0.002,0.004,-9.4,-9.2
-8.061e+00,-0,-0.01,-9.4,-9.8
-8.057e+00,-0.002,0.006,-9.4,-9.2
-8.053e+00,-0.002,-0.008,-9.6,-9.8
-8.049e+00,-0,0.006,-9.6,-9.2
-8.045e+00,-0.002,-0.01,-9.6,-9.8
-8.041e+00,-0,0.006,-9.6,-9.2
-8.038e+00,-0.002,-0.008,-9.4,-9.8
-8.034e+00,-0,0.006,-9.6,-9.2
-8.030e+00,-0.002,-0.008,-9.6,-9.8
-8.026e+00,-0.002,0.006,-9.6,-9.4
-8.022e+00,-0,-0.01,-9.6,-9.8
-8.018e+00,-0.002,0.006,-9.6,-9.2
-8.015e+00,-0.002,-0.008,-9.6,-9.8
-8.011e+00,-0.002,0.004,-9.6,-9.4
-8.007e+00,-0.002,-0.008,-9.6,-9.8
-8.003e+00,-0,0.006,-9.6,-9.4
-7.999e+00,-0.002,-0.01,-9.6,-9.8
-7.995e+00,-0.002,0.004,-9.6,-9.4
-7.992e+00,-0.002,-0.008,-9.6,-9.8
-7.988e+00,-0,0.006,-9.6,-9.4
-7.984e+00,-0.002,-0.008,-9.6,-9.8
